fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,17,MADHYA PRADESH,1703,GWALIOR,189309,284.569070489138,6,46,0.98,104,111,8993,20301,3523,14033,2280,8523,53.03432,111.784687,3031,3505,47276,76641,0,111281,214088,9097,57.770367,6450,51,30.72,51.83,100,NA
2025-2026,April,17,MADHYA PRADESH,1707,TIKAMGARH,433201,475.510641232756,8,6,70.7631886,251,68,11304,24141,4749,22637,1642,13289,63.1968,248.7530125,2903,3784,74789,134781,0,130095,224546,11555,114.7930239,8536,66,11.28,37.96,100,NA
2025-2026,April,17,MADHYA PRADESH,1711,DAMOH,863729,304.909098810374,8,55,1.3875186,408,175,16154,153830,18353,38878,27869,37171,91.40452,561.833705299999,18761,21411,153125,259804,0,280692,459754,16562,469.041666699999,55664,63,64.4,79.55,100,NA
2025-2026,April,17,MADHYA PRADESH,1717,RATLAM,451020,260.395866464566,10,22,0,241,146,14868,40244,10679,59283,16287,67688,80.12417,184.9178825,3912,5319,98921,217794,0,188998,391203,15109,104.7937125,15503,79,17.81,40.61,100,NA
2025-2026,April,17,MADHYA PRADESH,1724,KHARGONE,1004181,478.851247212756,8,30,3.7302109,671,93,19201,47538,6170,37248,23412,173141,94.88354,326.2500568,5547,7355,171388,342273,0,290734,575257,19872,227.6363059,19752,74,31,59.13,100,NA
2025-2026,April,17,MADHYA PRADESH,1728,BHOPAL,263218,305.643515823516,9,9,0,159,59,5554,17316,3093,10734,1061,3220,26.66981,79.5950412,1825,2406,40209,65526,0,71171,116255,5713,52.9252312,7237,66,32.62,40.96,100,NA
2025-2026,April,17,MADHYA PRADESH,1730,RAISEN,296464,290.994685429972,11,27,0,494,93,15683,67330,12415,21862,10393,23245,83.78402,279.7107417,5830,7560,71134,124266,0,157765,249714,16177,195.9267217,24538,79,13.29,12.34,100,NA
2025-2026,April,17,MADHYA PRADESH,1734,NARSINGHPUR,341527,290.707826133051,8,4,5.9301687,273,52,10367,37730,7289,24764,7680,26666,64.41567,180.0299015,4215,5197,72287,135629,0,150902,264788,10640,109.6840628,12537,71,23.43,28.25,100,NA
2025-2026,April,17,MADHYA PRADESH,1736,CHHINDWARA,1206413,264.008787275034,10,344,21.7599393,1137,52,23223,212810,30524,85726,113908,268260,129.04203,712.6390695,20351,28457,221937,524231,0,286681,658852,24360,561.8371002,103904,75,22.76,35.64,100,NA
2025-2026,April,17,MADHYA PRADESH,1743,HARDA ,118979,328.37818598751,9,12,0.017,159,35,3637,10248,2751,17432,3682,28349,35.01386,68.6830565,1102,1506,28720,67190,0,50796,114090,3796,33.6521965,4122,59,21.42,23.47,100,NA
