fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,17,MADHYA PRADESH,1750,SINGRAULI,641736,309.309291232624,11,186,3.7209633,218,39,11304,123355,19682,33339,38570,66240,49.43265,434.702089500003,11127,15128,117384,207496,0,176698,301806,11522,381.548476200003,54217,69,40.37,73.66,100,NA
2025-2026,April,17,MADHYA PRADESH,1752,NIWARI,201868,447.425633435946,9,11,0,159,22,4809,12669,1634,7289,1186,6786,18.782,75.4663535,1338,1705,35165,59675,0,48940,82199,4968,56.6843535,5512,66,17.5,71.59,100,NA
2025-2026,April,17,MADHYA PRADESH,1702,BHIND,245604,302.331617152721,7,6,0,107,272,7597,22014,4214,17922,216,202,33.59042,100.1457022,2786,2963,72725,97591,0,163244,268616,7704,66.5552822,9682,33,21.76,61.68,100,NA
2025-2026,April,17,MADHYA PRADESH,1703,GWALIOR,189309,276.283559662798,7,54,4.1384,116,93,9055,28351,4903,14056,3106,8540,53.03432,135.501872,3855,4472,47342,76790,0,111356,214182,9171,78.329152,8946,51,26.37,52.27,100,NA
2025-2026,April,17,MADHYA PRADESH,1704,DATIA,211954,347.126754462782,7,7,0,354,83,4978,14845,4286,17127,512,2730,53.96474,105.4957067,1884,2277,38015,66205,0,81866,146885,5332,51.5309667,5319,52,19.89,24.39,100,NA
2025-2026,April,17,MADHYA PRADESH,1706,GUNA,489168,297.15584755353,11,30,0.8235,352,79,18375,134316,14549,26543,22810,48474,95.1627,495.1140482,12018,13957,101460,215809,0,209657,433104,18727,399.1278482,48428,82,30.27,62.63,100,NA
2025-2026,April,17,MADHYA PRADESH,1708,CHHATARPUR,684591,298.701200744834,10,81,0.0092,826,50,15877,149832,26506,46658,8438,14404,107.82172,555.3809031,14622,18050,127585,244044,0,234010,432059,16703,447.5499831,47771,72,33.48,46.93,100,NA
2025-2026,April,17,MADHYA PRADESH,1711,DAMOH,863729,281.288826804356,9,75,1.3875186,461,148,16386,212846,28421,39044,41558,37272,91.40452,691.504054899999,23085,26798,153611,260527,0,280943,460116,16847,598.712016299999,80081,64,59.69,75.68,100,NA
2025-2026,April,17,MADHYA PRADESH,1719,SHAJAPUR,186357,294.555953179657,10,36,0,263,17,7770,55745,11641,20330,3922,11161,44.22841,208.4286261,5314,6818,53983,96151,0,110377,187878,8033,164.2002161,18976,72,39.61,49.11,100,NA
2025-2026,April,17,MADHYA PRADESH,1727,VIDISHA,463598,299.612396226208,10,21,4.2317245,848,72,19517,90943,18436,27438,6921,12958,114.05135,390.759576,9038,10318,107691,162430,0,223329,324580,20365,272.4765015,27235,76,19.36,26.76,100,NA
2025-2026,April,17,MADHYA PRADESH,1729,SEHORE,259798,277.777161463717,11,14,0.44436,484,133,9731,38696,10098,27768,4950,17797,100.83371,208.7667204,3416,4792,57117,111114,0,136111,253613,10215,107.4886504,14451,69,24.05,30.02,100,NA
2025-2026,April,17,MADHYA PRADESH,1731,BETUL,760501,281.846001926468,8,159,13.2897358,451,114,13923,61252,9212,52492,28362,195467,103.22098,289.1470289,7247,9950,152136,365840,0,215540,491650,14374,172.6363131,29626,63,48.96,54.68,100,NA
2025-2026,April,17,MADHYA PRADESH,1735,MANDLA,1369979,282.336556091808,11,331,1.9931213,1023,18,20795,278062,23782,32147,159653,267579,99.60366,886.667455900003,24342,33537,212735,456304,0,252545,530901,21818,785.070674600003,152953,78,54.57,61.61,100,NA
2025-2026,April,17,MADHYA PRADESH,1736,CHHINDWARA,1206413,247.82971854905,11,425,21.7599393,1293,41,23762,278521,39199,85770,151505,268406,139.39203,851.4097797,24640,34230,222049,524548,0,286752,659057,25055,690.2578104,136888,76,24.1,40.41,100,NA
2025-2026,April,17,MADHYA PRADESH,1744,KATNI ,591077,358.407058946547,9,49,0.25038,589,27,6961,71726,9742,44900,19995,80826,42.19344,299.5148671,7446,9686,131163,280075,0,172966,366230,7550,257.0710471,35848,54,45.6,56.73,100,NA
2025-2026,April,17,MADHYA PRADESH,1747,BURHANPUR,233987,264.761047222222,13,57,4.2290848,218,19,6664,43200,8347,25265,18485,50501,7.964,126.5698572,3317,5399,50080,129033,0,89658,215624,6882,114.3767724,20894,77,6.91,16.59,100,NA
2025-2026,April,17,MADHYA PRADESH,1749,ALIRAJPUR,649629,283.885232316923,10,196,4.8531,106,14,11838,89662,11540,36016,73064,189141,59.00052,318.390797,8231,11499,101862,236794,0,146607,322976,11944,254.537177,34550,77,55.4,82.91,100,NA
2025-2026,April,17,MADHYA PRADESH,1702,BHIND,245604,284.818426268407,8,6,0,114,249,7608,28658,5521,17930,228,202,52.46642,134.0896846,3466,3719,72746,97642,0,163267,268651,7722,81.6232646,12425,34,23.21,63.81,100,NA
2025-2026,April,17,MADHYA PRADESH,1703,GWALIOR,189309,275.734744610236,8,58,4.1384,126,78,9120,37061,6165,14077,3910,8545,53.03432,159.3627737,4468,5210,47387,76864,0,111441,214335,9246,102.1900537,11112,52,26.3,53.51,100,NA
2025-2026,April,17,MADHYA PRADESH,1705,SHIVPURI,922868,300.86245616838,11,66,0,629,125,36812,143960,24420,55193,40900,67684,83.37121,516.492801899999,12907,15703,196971,339208,0,338736,617902,37441,433.121591899999,59016,82,19.84,35.6,100,NA
2025-2026,April,17,MADHYA PRADESH,1707,TIKAMGARH,433201,362.902769807497,9,12,76.6986291,352,50,11403,49350,9508,22682,3459,13295,75.7968,331.587946,4958,6479,74899,134977,0,130236,224783,11755,179.0925169,17426,67,15.04,49,100,NA
2025-2026,April,17,MADHYA PRADESH,1727,VIDISHA,463598,289.322054763343,10,23,4.2317245,979,41,20268,114237,22105,27585,7630,12971,114.25135,448.9959102,10703,12236,108062,162968,0,223579,324946,21247,330.5128357,34274,76,21.08,28,100,NA
2025-2026,April,17,MADHYA PRADESH,1729,SEHORE,259798,286.368945191952,11,15,0.44436,505,106,9890,48606,12804,27864,6579,17855,101.08142,240.7182695,4107,5710,57270,111367,0,136172,253765,10395,139.1924895,18100,69,24.26,30.82,100,NA
2025-2026,April,17,MADHYA PRADESH,1734,NARSINGHPUR,341527,270.86251777679,10,10,5.9301687,372,17,10397,72004,13354,24828,14523,26782,94.89167,295.853686,7022,8980,72538,136158,0,151161,265240,10769,195.0318473,24584,72,34.67,41.27,100,NA
2025-2026,April,17,MADHYA PRADESH,1738,BALAGHAT,1446995,326.00705673741,9,1118,1.10914,702,12,21436,394202,16819,27051,114133,129422,167.65775,1453.8932278,40841,51504,265088,572251,0,318611,672227,22138,1285.1263378,239535,79,59.7,73.92,100,NA
2025-2026,April,17,MADHYA PRADESH,1748,ASHOK NAGAR,522994,292.689453972174,9,93,9.42587166,525,26,19185,166823,32363,28659,16485,15683,68.25585,565.955049459999,17099,20555,85676,143877,0,153604,549592,19710,488.273327799999,53713,86,34.04,59.93,100,NA
2025-2026,April,17,MADHYA PRADESH,1750,SINGRAULI,641736,287.345933664216,12,215,3.7209633,267,20,11412,183551,29040,33347,56529,66304,49.43265,580.579948000004,14308,19527,117452,207625,0,176787,301946,11679,527.426334700004,78871,69,38.83,74.24,100,NA
2025-2026,April,17,MADHYA PRADESH,1705,SHIVPURI,922868,296.121953239131,11,69,0,687,110,36937,158808,26759,55225,43748,67745,84.10314,554.368491499999,13751,16741,197083,339402,0,338848,618087,37624,470.265351499999,65260,83,18.53,35.8,100,NA
2025-2026,April,17,MADHYA PRADESH,1709,PANNA,567602,285.04128824191,13,68,1.71748,414,20,11969,197362,33246,42802,35895,36690,93.90199,658.182657299999,14187,20085,106398,222570,0,168946,338617,12383,562.563187299999,78965,70,31.47,51.17,100,NA
2025-2026,April,17,MADHYA PRADESH,1732,NARMADAPURAM,214998,275.060855816944,11,31,2.199,196,39,12441,49777,9596,18040,12289,29123,94.542,233.6580422,4251,5318,43604,92852,0,102928,198293,12637,136.9170422,16083,70,4.63,6.55,100,NA
2025-2026,April,17,MADHYA PRADESH,1742,BARWANI,519386,324.005105018946,11,92,12.1031006,595,17,14218,101077,8796,29738,80846,207844,90.17226,429.7700006,8770,13196,118225,274740,0,212221,469248,14813,327.49464,42739,79,26.98,50.61,100,NA
2025-2026,April,17,MADHYA PRADESH,1743,HARDA ,118979,300.868120874364,11,19,0.017,173,21,3705,18482,4955,17458,7086,28384,46.13186,101.7553061,1608,2210,28751,67283,0,50819,114144,3878,55.6064461,7528,60,17.71,21.18,100,NA
2025-2026,April,17,MADHYA PRADESH,1744,KATNI ,591077,332.047778162762,9,59,0.25038,703,20,7155,92356,12419,44918,25068,80887,70.20444,377.120866000001,9240,12131,131290,280340,0,173036,366353,7858,306.666046000001,46599,55,47.21,57.85,100,NA
2025-2026,April,17,MADHYA PRADESH,1745,DINDORI,1397354,344.568104136003,9,214,14.4392456,639,5,13126,266997,6370,14328,166510,185380,75.90168,1010.3274266,28859,35523,191132,355522,0,205683,377305,13765,919.986501000004,140410,65,39.43,79.19,100,NA
2025-2026,April,17,MADHYA PRADESH,1705,SHIVPURI,922868,298.845354632437,11,71,0,797,101,36991,170148,28712,55251,46332,67720,93.46314,601.942533999999,14556,17707,197116,339458,0,338930,618212,37788,508.479393999999,69368,83,19.38,36.34,100,NA
2025-2026,April,17,MADHYA PRADESH,1708,CHHATARPUR,684591,281.708944819606,11,99,0.0092,980,37,16469,215167,36790,46872,11623,14466,116.56022,722.714105300001,18036,22650,128008,244837,0,234327,432544,17449,606.144685300001,69382,72,33.5,48.13,100,NA
2025-2026,April,17,MADHYA PRADESH,1713,REWA,397443,374.253318739989,11,25,0,1098,45,18521,103015,20190,44901,15963,40047,183.32984,568.8668963,8886,10868,135932,251739,0,256280,483964,19619,385.5370563,37158,59,17.99,24.57,100.03,NA
2025-2026,April,17,MADHYA PRADESH,1720,DEWAS,391927,266.924044744065,12,66,3.645,311,15,13527,154121,29881,34332,32996,39767,111.68546,526.716467,12355,15699,88317,178911,0,166116,336661,13838,411.386007,50151,78,30.06,43.83,100,NA
2025-2026,April,17,MADHYA PRADESH,1725,KHANDWA,548085,271.352480601544,11,71,0,435,30,13469,104132,9722,24767,36689,104880,91.3489,373.9136651,9346,13811,124603,310265,0,197153,465547,13904,282.5647651,46060,71,22.91,49.6,100,NA
2025-2026,April,17,MADHYA PRADESH,1734,NARSINGHPUR,341527,265.406356506792,10,11,5.9301687,384,15,10579,83774,15465,24882,15828,26831,97.22567,325.4973598,7710,9956,72696,136468,0,151240,265380,10963,222.3415211,28543,72,35.93,41.88,100,NA
2025-2026,April,17,MADHYA PRADESH,1736,CHHINDWARA,1206413,250.016334332248,12,577,23.2643383,1592,22,25559,409778,58190,85905,223481,268670,154.67883,1202.4551028,32571,44871,222310,525222,0,287000,659534,27151,1024.5119345,203835,77,25.3,44.07,100.61,NA
2025-2026,April,17,MADHYA PRADESH,1741,NEEMUCH,233605,297.423387525582,12,28,1.16978,264,11,6896,52283,8988,12855,6546,10085,41.64169,198.3133397,4065,5341,45317,100704,0,90801,196271,7160,155.5018697,18692,67,18.03,23,100,NA
2025-2026,April,17,MADHYA PRADESH,1743,HARDA ,118979,299.821239226298,11,21,0.017,249,17,3654,19956,5305,17458,7701,28389,46.89099,106.7403165,1705,2335,28759,67301,0,50825,114161,3903,59.8323265,8082,60,18.04,21.28,100,NA
2025-2026,April,17,MADHYA PRADESH,1752,NIWARI,201868,340.187615619476,10,15,0,194,13,4850,31115,4337,7305,3190,6795,18.782,124.6313766,2832,3618,35204,59753,0,49012,82330,5044,105.8493766,12139,67,23.21,68.29,100,NA
2025-2026,May,17,MADHYA PRADESH,1702,BHIND,491209,261.365365138149,10,8,0,135,207,7659,48064,8677,17976,329,202,60.66008,186.2827291,4574,4931,72823,97774,0,163522,268988,7794,125.6226491,20395,34,25.04,63.11,100,NA
2025-2026,May,17,MADHYA PRADESH,1703,GWALIOR,378620,258.234063375252,11,63,4.1384,165,42,9549,72836,11257,14116,7569,8564,53.36909,245.594852399999,6566,7549,47509,77093,0,111888,214990,9714,188.087362399999,20463,53,21.95,57.38,100.01,NA
2025-2026,May,17,MADHYA PRADESH,1704,DATIA,423906,288.421171374521,11,17,0,508,38,5156,46518,13504,17265,993,2741,56.51636,190.6841205,4133,5043,38190,66563,0,82386,147713,5664,134.1677605,16727,54,25.06,34.36,100,NA
2025-2026,May,17,MADHYA PRADESH,1709,PANNA,1135204,275.915755178096,15,89,1.77516,482,10,13057,287654,48043,42928,47235,36764,94.66839,890.126256400001,18404,26091,106718,223210,0,169212,339002,13539,793.682706400001,114323,71,36.04,56.92,100.01,NA
2025-2026,May,17,MADHYA PRADESH,1722,DHAR,2027305,262.751329954376,15,420,0,1609,17,29472,519687,43303,42460,359214,287226,161.02897,1526.5134741,33056,47114,199221,422168,1,313735,649735,31081,1365.4845041,213524,69,26.54,57.63,100,NA
2025-2026,May,17,MADHYA PRADESH,1725,KHANDWA,1096170,268.318216938993,11,116,0,668,6,16559,173505,15420,24814,59973,105063,94.72802,560.273542299999,15025,22307,124923,311067,0,197233,465731,17227,465.545522299999,77092,76,22.49,54.39,100,NA
2025-2026,May,17,MADHYA PRADESH,1737,SEONI,2479254,241.170662909015,11,551,0,2389,12,20250,276946,34139,56144,124384,211195,135.14303,803.055534100002,23383,34125,188418,453820,0,225497,532043,22639,667.912504100002,149815,71,43.38,61.56,100,NA
2025-2026,May,17,MADHYA PRADESH,1738,BALAGHAT,2893990,282.092274180874,11,1828,1.10914,962,6,22509,697328,29937,27080,214437,129636,168.53315,2136.75070370001,58929,75871,265384,573019,1,318947,673003,23471,1967.10841370001,423873,78,61.57,77.15,100.01,NA
2025-2026,May,17,MADHYA PRADESH,1739,SHEOPUR,740996,273.994585574021,14,84,0,621,14,20698,230584,31333,19600,69182,46998,50.4265,682.214175200001,16453,20822,90335,152043,0,168148,275947,21319,631.787675200001,94170,82,25.97,62.1,100,NA
2025-2026,May,17,MADHYA PRADESH,1744,KATNI ,1182153,282.060372983608,11,88,0.25038,730,5,7933,152500,21924,44969,39704,80978,84.19444,514.586888800002,13863,18409,131484,280751,0,173185,366610,8663,430.142068800002,78195,59,52.99,63.9,100,NA
2025-2026,May,17,MADHYA PRADESH,1751,AGAR-MALWA,713929,274.593195104028,12,108,0.17658,272,6,14189,126553,36462,33306,4151,4393,50.36545,398.0479562,10032,13884,57717,123343,0,110404,222430,14461,347.5059262,49682,81,23.05,44.99,100,NA
2025-2026,April,17,MADHYA PRADESH,1718,UJJAIN,501349,254.039396792269,14,87,2.15168,413,31,12139,132243,51438,56653,10791,12620,136.73088,474.8318795,9221,12475,71730,168242,0,155228,361569,12552,335.9493195,49515,74,21.41,31.36,100.02,NA
2025-2026,April,17,MADHYA PRADESH,1727,VIDISHA,463598,275.81097506338,11,34,4.2317245,1356,16,21794,183024,34410,27945,10883,13018,116.2284,625.2604035,15484,17866,108962,164315,0,224296,326023,23150,504.800279,56156,77,24.01,33.01,100,NA
2025-2026,April,17,MADHYA PRADESH,1728,BHOPAL,263218,271.051259202153,12,23,0,247,13,6012,66153,10939,10889,3519,3275,48.68665,227.9951895,5212,6603,40613,66292,0,71396,116596,6259,179.3085395,26887,69,26.63,43.19,100.11,NA
2025-2026,April,17,MADHYA PRADESH,1732,NARMADAPURAM,214998,274.476232121426,13,40,2.199,249,27,12896,70825,13567,18156,17506,29243,95.1439,291.7406914,5296,6670,43864,93392,0,103159,198767,13145,194.3977914,23280,71,4.92,6.62,100,NA
2025-2026,April,17,MADHYA PRADESH,1737,SEONI,1239628,248.193042578368,11,522,0,2281,15,19960,256069,31121,56125,113999,211159,134.60303,770.148472200002,21702,31571,188361,453698,0,225452,531958,22241,635.545442200002,138799,71,42.33,60.82,100,NA
2025-2026,April,17,MADHYA PRADESH,1746,ANUPPUR,847475,237.224911090606,15,655,5.6410211,616,0,13160,481164,39879,23934,301598,141390,64.89779,1211.9796823,31819,43898,123396,250988,0,161962,319251,13776,1141.4408712,241513,83,68.93,72.25,100,NA
2025-2026,April,17,MADHYA PRADESH,1747,BURHANPUR,233987,254.469358526025,16,88,4.2290848,274,6,6979,84072,15992,25374,37252,50734,31.97995,250.1465139,5249,8558,50277,129596,0,89692,215780,7253,213.9374791,40773,78,9.59,21.4,100,NA
2025-2026,April,17,MADHYA PRADESH,1751,AGAR-MALWA,356964,275.924675244639,12,105,0.17658,267,6,14073,120075,34798,33297,3798,4395,50.36545,381.8585838,9740,13430,57704,123301,0,110394,222409,14340,331.3165538,46851,81,22.88,45.15,100,NA
2025-2026,April,17,MADHYA PRADESH,1701,MORENA,1189426,260.209308041473,11,140,38.1801556,129,117,8759,965159,109840,39554,11754,4398,118.07152,2667.685231,84914,88116,237609,296771,0,327788,411670,8888,2511.4335554,401034,15,39.52,94.14,100,NA
2025-2026,April,17,MADHYA PRADESH,1704,DATIA,211954,307.142708389777,10,8,0,484,48,5009,33219,9591,17224,870,2739,56.51636,158.5460963,3200,3933,38130,66423,0,82138,147324,5493,102.0297363,11646,53,21.07,26.16,100,NA
2025-2026,April,17,MADHYA PRADESH,1705,SHIVPURI,922868,282.096328394776,11,85,0,1034,76,36584,207348,34659,55267,57484,67793,93.46314,678.384234999999,17571,21371,197301,339717,0,339423,619084,37618,584.921094999999,83392,82,20.02,37.4,100,NA
2025-2026,April,17,MADHYA PRADESH,1707,TIKAMGARH,433201,311.894692842403,11,20,78.3315013,435,18,11999,92070,17724,22784,6404,13320,75.7968,441.289745,7857,10387,75133,135360,0,130411,225035,12434,287.1614437,33011,67,19.03,53.78,100,NA
2025-2026,April,17,MADHYA PRADESH,1708,CHHATARPUR,684591,284.985294244882,12,117,0.0092,1116,28,16729,258900,43006,46948,13478,14496,133.96422,871.8003468,20485,25870,128210,245240,0,234716,433139,17845,737.8269268,83611,72,34.96,50.84,100,NA
2025-2026,April,17,MADHYA PRADESH,1709,PANNA,567602,282.471573881802,14,74,1.71748,443,17,12567,242712,40675,42847,41697,36720,93.90199,781.2118764,16210,22998,106514,222809,0,169075,338810,13010,685.5924064,96667,71,34.77,54.6,100,NA
2025-2026,April,17,MADHYA PRADESH,1710,SAGAR,542808,308.53914435258,11,52,18.349388,902,79,19770,163163,23050,34780,16567,31365,139.45065,661.2217621,14058,17690,143563,246624,0,290263,496701,20672,503.421724099999,51407,76,35.03,53,100.42,NA
2025-2026,April,17,MADHYA PRADESH,1713,REWA,397443,341.746193326551,12,27,0,1243,36,18760,126801,24397,44958,18965,40097,183.32984,616.6674306,10547,12976,136177,252185,0,256466,484284,20003,433.3375906,46572,60,19.3,27.55,100.03,NA
2025-2026,April,17,MADHYA PRADESH,1715,SIDHI,678091,267.075741053236,12,76,5.9155347,653,10,14714,222818,30834,30425,68610,60558,72.98192,673.9902794,17423,23169,126753,203510,0,166720,257708,15367,595.0928247,102715,67,38.04,56.73,100,NA
2025-2026,April,17,MADHYA PRADESH,1718,UJJAIN,501349,245.750302800435,13,76,2.15168,409,46,11440,112054,42984,56341,9207,12521,131.30628,408.8310043,8176,11036,71401,167546,0,154781,360158,11849,275.3730443,41625,73,21.48,31.81,100.02,NA
2025-2026,April,17,MADHYA PRADESH,1720,DEWAS,391927,262.54090753522,13,71,3.645,353,15,13906,175894,33993,34403,37226,39970,111.86546,577.3041639,13203,16799,88567,179435,0,166250,336903,14259,461.7937039,58017,79,29.41,44.1,100,NA
2025-2026,April,17,MADHYA PRADESH,1722,DHAR,1013653,261.420318294645,14,391,0,1504,26,28088,441949,36638,42269,307683,286705,161.02897,1316.3734525,29929,42593,198785,421258,0,313596,649480,29592,1155.3444825,181789,68,27.32,60.02,100,NA
2025-2026,April,17,MADHYA PRADESH,1730,RAISEN,296464,274.580886705129,14,51,0,729,33,17931,157730,29873,22363,23642,23586,107.83766,540.9340926,10904,14264,72541,126605,0,158290,250635,18660,433.0964326,57494,82,11.98,13.05,100,NA
2025-2026,April,17,MADHYA PRADESH,1732,NARMADAPURAM,214998,277.464663367773,12,38,2.199,217,32,12700,62041,12007,18108,15269,29188,94.7899,269.1307518,4948,6220,43745,93149,0,103031,198493,12917,172.1418518,20315,70,5.01,6.81,100,NA
2025-2026,April,17,MADHYA PRADESH,1735,MANDLA,1369979,266.140909370336,12,606,3.3134013,1470,3,21025,478254,38513,32179,282664,267853,107.28366,1383.42660600001,37148,51537,212954,456809,0,252783,531402,22495,1272.82954470001,263578,79,59.8,66.76,100,NA
2025-2026,April,17,MADHYA PRADESH,1736,CHHINDWARA,1206413,257.6899004542,13,654,21.9939393,1717,3,26086,481286,67971,85931,263793,268829,156.50569,1418.7250436,36228,49891,222436,525527,0,287115,659751,27803,1240.2254143,239840,77,25.34,45.01,103.01,NA
2025-2026,April,17,MADHYA PRADESH,1745,DINDORI,1397354,315.316753322235,9,268,34.0054,848,3,13206,342390,8217,14332,211992,185427,83.32076,1196.9391917,34298,42656,191166,355608,0,205747,377428,14054,1079.6130317,180888,66,39.6,79.6,100,NA
2025-2026,April,17,MADHYA PRADESH,1746,ANUPPUR,847475,242.901758735302,14,596,5.6410211,544,0,12594,413695,33800,23914,257925,141241,64.89779,1075.41124190001,28797,39469,123280,250749,0,161874,319091,13138,1004.87243080001,206779,82,67.53,71.33,100,NA
2025-2026,April,17,MADHYA PRADESH,1747,BURHANPUR,233987,258.330556670554,15,76,4.2290848,260,7,6869,73742,13973,25331,32313,50662,31.97995,226.7071539,4840,7891,50210,129380,0,89681,215728,7129,190.4981191,35855,77,9.54,20.24,100,NA
2025-2026,April,17,MADHYA PRADESH,1750,SINGRAULI,641736,266.801834745345,14,237,3.7209633,349,15,11727,261802,40366,33393,78351,66388,50.10555,752.319052700008,18161,25114,117629,207918,0,176942,302171,12076,698.492539400008,113659,70,41.07,77.13,100,NA
2025-2026,May,17,MADHYA PRADESH,1710,SAGAR,1085618,291.082781598648,12,68,20.793648,987,49,20894,220136,31231,34884,22936,31447,143.7672,805.3388401,17172,21722,143916,247245,0,290500,497092,21881,640.7779921,70039,77,35.33,53.65,100.32,NA
2025-2026,May,17,MADHYA PRADESH,1711,DAMOH,1727457,275.931965336878,13,150,1.4844786,594,43,17890,521361,72475,39549,86018,37648,110.79577,1550.8819024,39162,46520,155466,263360,0,281549,461034,18484,1438.6016538,194775,65,55.93,75.19,100,NA
2025-2026,May,17,MADHYA PRADESH,1722,DHAR,2027305,257.403661041728,16,444,0,1738,16,30219,560895,47932,42551,386781,287665,161.02897,1604.7932346,34418,49106,199529,422836,1,313749,649785,31957,1443.7642646,230319,70,25.32,55.81,100,NA
2025-2026,May,17,MADHYA PRADESH,1732,NARMADAPURAM,429997,273.903845110873,14,42,2.199,314,23,13124,81129,15710,18198,20027,29283,95.1439,319.5583505,5696,7190,43962,93605,0,103173,198849,13438,222.2154505,26663,71,5.17,6.76,100,NA
2025-2026,May,17,MADHYA PRADESH,1735,MANDLA,2739960,256.622432499166,14,732,3.3134013,1806,2,21381,619659,50560,32179,366108,268051,108.98384,1702.48124030001,43956,61218,213088,457137,1,252949,531731,23187,1590.18399900001,343432,79,61.47,68.92,100,NA
2025-2026,May,17,MADHYA PRADESH,1742,BARWANI,1038771,284.255610286645,12,123,12.1031006,807,9,15414,168257,14841,29896,133274,208508,91.23523,581.6182928,13051,19716,118637,275743,1,212480,469733,16221,478.2799622,70125,80,24.72,51.07,100.02,NA
2025-2026,May,17,MADHYA PRADESH,1749,ALIRAJPUR,1299259,269.457974786622,14,306,4.9931,117,3,13762,229640,30101,36089,186810,189863,61.06594,684.8423333,15488,21748,102238,237613,1,146815,323339,13879,618.7832933,86038,79,48.38,81.68,100,NA
2025-2026,May,17,MADHYA PRADESH,1750,SINGRAULI,1283469,278.347665064669,15,274,3.7209633,437,10,11853,306077,48076,33441,90589,66446,62.88555,918.564696099988,20158,28052,117756,208139,0,177129,302434,12290,851.958182799988,132279,70,40.93,77.12,100,NA
2025-2026,April,17,MADHYA PRADESH,1703,GWALIOR,189309,253.882076939246,9,60,4.1384,143,63,9373,52327,8480,14095,5531,8554,53.36909,190.356364399999,5651,6519,47469,76996,0,111590,214545,9516,132.848874399999,15502,52,25.44,55.41,100,NA
2025-2026,April,17,MADHYA PRADESH,1704,DATIA,211954,305.442423911605,9,7,0,474,54,5013,30228,8974,17225,756,2739,56.51636,148.8454959,3035,3730,38126,66410,0,82063,147210,5487,92.3291359,10866,53,19.68,25.82,100,NA
2025-2026,April,17,MADHYA PRADESH,1709,PANNA,567602,285.977527353888,14,70,1.71748,421,18,12213,219987,37055,42812,38669,36701,93.90199,724.732853099999,15194,21587,106436,222657,0,169009,338701,12634,629.113383099998,88447,71,33.27,52.92,100,NA
2025-2026,April,17,MADHYA PRADESH,1711,DAMOH,863729,275.347717346597,11,111,1.4844786,530,73,17154,367121,50031,39268,65709,37412,109.56468,1121.908452,31723,37298,154454,261802,0,281222,460531,17684,1010.8592934,136675,64,56.01,74.16,100,NA
2025-2026,April,17,MADHYA PRADESH,1714,SHAHDOL,600501,269.42279502392,12,116,11.476686,198,41,15779,121863,14814,34250,65790,129976,80.44814,420.2515267,10091,14106,118043,234604,0,160019,298578,15977,328.3267007,58699,79,56.71,63.38,100,NA
2025-2026,April,17,MADHYA PRADESH,1717,RATLAM,451020,257.358825147268,13,49,0,492,61,15053,97442,24671,59475,38843,67839,96.71493,347.490516400001,7457,10295,99161,218436,0,189164,391720,15545,250.775586400001,38171,79,21.25,42.55,100,NA
2025-2026,April,17,MADHYA PRADESH,1718,UJJAIN,501349,260.621371503958,13,59,2.15168,399,51,10956,94750,36912,56140,7682,12435,131.30628,380.3967095,7095,9536,71167,166963,0,154717,360003,11355,246.9387495,34959,72,21.96,31.7,100.02,NA
2025-2026,April,17,MADHYA PRADESH,1724,KHARGONE,1004181,329.365311609699,11,82,3.7302109,970,45,20180,137945,15768,37441,74536,173608,146.25352,604.32671,11960,16030,171955,343409,0,291197,575977,21150,454.3429791,56451,75,35.55,61.16,100,NA
2025-2026,April,17,MADHYA PRADESH,1734,NARSINGHPUR,341527,254.67015807639,11,15,5.9301687,439,12,10600,95903,17562,24895,19237,26857,97.22567,347.3921604,8404,10928,72759,136607,0,151278,265448,11039,244.2363217,32829,72,41.24,47.43,100,NA
2025-2026,April,17,MADHYA PRADESH,1737,SEONI,1239628,258.144963414573,11,370,0,2068,32,19341,198303,23471,56113,88956,211040,133.53199,645.441196800001,17454,25437,188264,453425,0,225367,531760,21409,511.909206800001,106975,71,42.63,61.16,100,NA
2025-2026,April,17,MADHYA PRADESH,1739,SHEOPUR,370498,286.58714092772,12,73,0,535,22,20568,171776,23206,19560,49671,46914,50.4265,542.7144272,14143,17827,90180,151745,0,167970,275626,21103,492.2879272,70217,82,26.48,62.41,100,NA
2025-2026,April,17,MADHYA PRADESH,1740,UMARIA,362421,330.313356763371,13,48,0.6948,369,19,9659,67008,5409,11805,38492,85303,42.90318,264.9343541,5084,6885,85351,154199,0,119354,203648,10028,221.3363741,31703,77,19.51,39.65,100,NA
